0;Label;
OJK-KPK Sinergi Cegah Korupsi di Jasa Keuangan  https://t.co/tC8Urft32j;Positif;11
"""@Adm61481192 @Pakamkalam Bodoh, khilafah dibilang sesat. Ancur negara ini karena oligarki, utang numpuk, mega korupsi, dan para polisi yg ikut terlibat politik dan menjadi bekingan para kriminal.""";Negatif;33
"""@ekowboy2 Mau apapun nama lu ganti, tetep aje korupsi Cuy...""";Negatif;16
"""@amurka_bali @gilangnaveed Si hasto mulut comberan.. Yg korupsi banyak di partai dia sendiri..";Negatif;
"""Itulah kenapa KPK jaman masih ada novel baswedan pun menyatakan tidak ada tindak pidana korupsi ,dan kasusnya di hentikan  https://t.co/QtWyAjdYCa""";Negatif;
"""@tvOneNews Iya bener kata si dia, milik Indonesia .. yg diwakilli sama segelintir orang Indonesia yg suka kolusi dan korupsi.""";Netral;
"""@lLLlClTED ã…¤  â€œEmangnya masuk pesantren bakal ngaruh juga? Lulusan pondok aja ada yang korupsi!â€ Malah gosip.  ã…¤";Negatif;
"""@mahasiswigenz Banyak dukungan u Gub.Anies Baswedan jd RI 1. Peduli pd keberagaman, Ummat Hindu banyak berterima kasih, hgg mendaulat sebg Bapak Kesataraan Nasional.Cinta Persatuan dan Kesatuan Indonesia.  Pemimpin yg Amanah dan Anti Korupsi.. hingga Ebong dan Temannya Ebong Kelonjotan, PanikğŸ˜  https://t.co/YSPJc4OHCp""";Positif;
"""Setya Novanto Kasus Korupsi Pekan Olahraga Nasional di Riau yang melibatkan Rusli Zainal, elit Golkar dan Gubernur Riau &amp";Netral;
"""Penerapan prinsip-prinsip Good Corporate Governance (GCG) terus dilakukan oleh PT Rajawali Nusindo demi meningkatkan kualitas pengelolaan yang bersih dan bebas dari praktik korupsi, kolusi dan nepotisme.  https://t.co/uYg8UVMfEu""";Positif;
"""@txtdrberseragam Selamat datang di wkwkwk land, jk anda terbukti pemakai nar***a anda akan jd duta anti nar***a. jk anda korupsi, anda jd duta anti korupsi. Jk anda tawuran, maka anda jd duta anti tawuran""";Negatif;
"""Korupsi Aset PDAM Rp 55 Miliar, Eks Ketua DPRD Manado Ditahan, TuhÂ Orangnya  https://t.co/XRq4v5qaH2""";Positif;
"""@pn7l7h Dukung @KPK_RI memberantas korupsi";Positif;
"""@AfriAztraner @AgusYudhoyono @aniesbaswedan Lah memang Tolol kan. Coba korupsi itu pelakunya siapa? Ya penyelenggara negara. Mosok orang di luar pemerintahan korupsi. Penyuap pun umumnya  punya kedekatan dengan penyelenggara negara.";Negatif;
"""Oknum Karyawan Bank Aceh Cabang Singkil Ditetapkan Tersangka Korupsi Pajak Daerah,  https://t.co/LPEMwG1Ru7   #Pemerintah #Aceh #persoalan #indonesia #Pemerintahan #masyarakat #Bitheco #infoaceh #beritaaceh #isuaceh #hukum #Indonesia #penguasa #rakyat""";Netral;
ada dua hal di dunia ini yg perlu dibasmi yaitu korupsi dan kecoakkk alias emng nyusahinn luu dua duanyaaaa;Negatif;
"""Wacana Pilkada tidak langsung atau kepala daerah dipilih DPRD kembali mengemuka dengan alasan Pilkada langsung memperbanyak kasus korupsi karena politik biaya tinggi, bagaimana menanggapinya?  #ElshintaNewsAndTalk  https://t.co/hiSRgpox1w""";Netral;
"""@Kuifje58215139 Libas semua tikus berdasi yg doyan korupsi";Negatif;
"""@Trojannnnnnn @garinps @ElZain99 @CryptoMagicLuna @DokterTifa Gak usah sok polos pak, di aceh yang sudah menjalani syariat islam aja gubernurnya ketangkep korupsi.. Jadi itu yg di namakan apa?""";Negatif;
"""@VIVAcoid Alhamdulillah kekayaan nya udah melebihi cukup jadi kemungkinan korupsi ataupun tindakan yang merugikan masyarakat mengecil";Positif;
"""Selasa, 11/10/2022. Bertempat di Pengadilan T.P Korupsi pada P.N Ternate, Bidang T.P Khusus Kejaksaan Negeri Tidore Kepulauan, melaksanakan Persidangan dengan Agenda Pembacaan Putusan, dalam Perkara Tindak Pidana Korupsi A.n. Terdakwa (SS).  https://t.co/vAnKWUQj5l  https://t.co/XIqMfMM5rk""";Netral;
"""@ChusnulCh__ @KPK_RI @firlibahuri @KejaksaanRI @ST_Burhanuddin Kasus korupsi HarunMasiku gimana? Korupsi bansos gimana? Kasus e-ktp juga mana kelanjutannya? Koq mengalihkan dari kasus2 korupsi yang sudah duluan muncul sih...?";Netral;
"""Ada 2tugas lgi, b indo bikin ppt (kelompok) sama pendidikan anti korupsi bikin makalah ğŸ˜”â˜ğŸ»""";Netral;
"""@GunRomli Isu ini digaungkan oleh kadrun2 buat alihkan isu Wan Got Ambruk Kelebihan Bayar dari kasus formula eek.  Yuk fokus lagi kejar @KPK_RI agar segera jadikan Wan Got sbg tersangka!  Sudahi isu ini, fokus di korupsi formula eek.""";Negatif;
Eks Ketua DPRD Manado FJT alias Ferro ditahan penyidik Kejati Sulut atas dugaan korupsi aset PDAM yang merugikan negara Rp 55 miliar. #korupsi  https://t.co/qut5EbByU7;Netral;
"""@republikaonline Bisa habis tuh tuh kader PDIP klu pemberantasan korupsi ditegakan..  https://t.co/03RAYyvv22";Netral;
"""Sewa murah, servis bagus selevel apartemen mewah.   Ini bisa diberikan karena Anies tidak korupsi.  Rusun Rasa Apartemen, Warga Penjaringan: Terimakasih Pak Anies  https://t.co/l9Pkebvspw @kbanews  #PolriPemecahBangsa  #PolriPemecahBangsa""";Positif;
"""Kader Golkar ini banyak tersandung korupsi, Setya Novanto jangan sampai menjadi ketua DPR""";Netral;
Konflik yg lom ada di ic: (yg saya tau) 1. Korupsi 2. Kdrt 3. Selingkuh/poligami (eh udah ding pak surya n roy dulu ) wwkk 4. Anak rebutan harta wkkkk 5. Nyiksa anak kecil 6. Apalagi???  Kasus2 banyak tp ttep yg dipilih hamil luar nikah n mabok2an LAGIII #IkatanCintaEp909;Negatif;
the real 10 ribu gak di korupsi sama mensos bakal segini nih hasilnya;Negatif;
"""Label teroris itu mantra u/ menghalalkan kezaliman&amp membohongi rakyat, korupsi, aplg membuat ekonomi umat rusak. Mk label dgn istilahÂ² yg buruk dilakukan  https://t.co/nbKPs9BIqh""";Negatif; 
"""@M45Broo_ Koruptor mencium bau korupsi....ğŸ‘ğŸ‘ğŸ‘";Negatif;
"""JAKARTA â€” Peneliti Pusat Kajian Antikorupsi (Pukat) UGM, Zaenur Rohman menyebutkan Penyidik Komisi Pemberantasan Korupsi perlu menjelaskan bahwaâ€¦  https://t.co/az5fqP1EnC""";Netral;
"""@ChusnulCh__ @KPK_RI @firlibahuri @KejaksaanRI @ST_Burhanuddin Yuk.  Kita kawal juga korupsi bansos .e-KTP ..sumber waras . Terutama kader merah ..yg masih buron..";Positif;
Bareskrim Sudah Periksa 22 Saksi Terkait Kasus Dugaan Korupsi Jet Pribadi Hendra Kurniawan â€“ indonews â€“  https://t.co/pXpe9b8AEI â€“ #Opsiin  -  https://t.co/OLAI8uGvVS;Netral;
Bareskrim Sudah Periksa 22 Saksi Terkait Kasus Dugaan Korupsi Jet Pribadi Hendra Kurniawan â€“ indonews â€“  https://t.co/a9lVDTcQR3 â€“Â #Opsiin  https://t.co/RamqAkpmdW;Netral;
"""@AniesIndonesia BW itu siapa, mantan KPK, koq bela kasus korupsi, komitmennya dlm pemberantasan korupsi hanya retorika saja.""";Negatif;
"""@UsniErlangga @democrazymedia @KejaksaanRI harus audit Ada dugaan duplikasi pengadaan gas air mata  HARUS KERAS BERANTAS #KORUPSI";Positif;
"""Kembali ke isu BBM naik, harga harga naik, rupiah melemah, perkara korupsi yang belum tertangani, dan penegakan hukum.  Sila ditambahi sendiri.""";Negatif;
"""@Ani40301187 @pabika_leka45 Iyo Iyo sa paham ko ingin Papua merdeka toh? ğŸ¤£ğŸ¤£   Itulah kawan2 LE teryata teroris OPM semua yg terima uang korupsi ğŸ˜‚ğŸ˜‚  https://t.co/YOdN4ArkIS";Negatif;
"""Korupsi/bancakan anggaran pendidikan di sekolah itu paling mudah dilakukan, karena yang dihadapi sehariÂ² oleh pelakuÂ²nya di sekolahan adalah anakÂ² (siswa) dan ortunya, mudah untuk ditipuÂ². Mrk gak paham juknis, apalagi siswa diklaim tugasnya belajar, bukan ngurusin uang rakyat!""";Positif;
"""@PDemokrat Seperti kATAKAN tIDAK pADAHAL kORUPSI.";Negatif;
"""@Candra4smara Jawaban, statementnya..kelihatan aneh2,  dan BuzzerOON nya, berupaya trus mengalihkan isue...sampe yg gugatan ijasah palsu... @KPK_RI  @KejaksaanRI  harus Tetap Berantas Tuntas Korupsi tanpa pandang siapapun pelakunya!ğŸ’ª""";Negatif;
"""Mungkin @AgusYudhoyono melihatnya kehidupan @Edhie_Baskoro @angelinasondak1 @anasurbaningrum yg bilang """"Tidak pada Korupsi"""", mungkin juga mas AHY masih di militer waktu itu.""";Positif;
Korupsi Merugikan Masa Depan Papua .  Kalimantan Tengah .  #PapuaAmanKondusif #PapuaDukungPenegakanHukum #MasyarakatPapuaCintaDamai #RakyatPapuaDukungPemerintah&amp;Netral;
"""@RBuser86 Bang memanya korupsi tu legal y, sehingga anda oerlu melakukan pengawasan, apa kerupsi berjalan tidak sesuai aturan atau petunjuk pelaksanaan  hingga anda perlu melakukan pengawasan ğŸ˜‚ğŸ˜‚ğŸ˜‚""";Netral;
Korupsi Merugikan Masa Depan Papua .  Kalimantan Tengah .  #PapuaAmanKondusif #PapuaDukungPenegakanHukum #MasyarakatPapuaCintaDamai #RakyatPapuaDukungPemerintah&amp;Netral;
"""@Candra4smara Isu basi bong radikal radikul buat nutupin korupsi pdip";Negatif;
"""@Miduk17 Ehh Ehh Bodat Maling Teriak Maling Loe, WTP dari BPK 5 x Tidak Pernah Terjadi Sejak Jaman Gubernur Taik Ahok memimpin..Malah Kasus2 Korupsi bermunculan Pembelian Tanah Milik Pemprov,Kasus RS DLL  https://t.co/NFj9hZYpLC""";Negatif;
Ini parah nih Kepala suku besar tapi korupsi Jadi teringat koruptor Babah Ato yg dilindungi freemasonry dng kapal perang AS;Negatif;
"""@SahabatSaber Dr beginian biasanya pengikut dan anggota partai korupsi sapi...suka nyinyirin orng lain tapi diri sendiri gak beres.. ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹...sama dgn pendukung Anus Uedan...";Negatif;
"""@owspace aku ada uang gedungnya, ada sppnya, seragamnya juga bayar ğŸ˜­. walach walachh gurumu korupsi waktu ituu, mintain ganti rugi naa""";Negatif;
"""@Dandhy_Laksono â€œKalau sudah sejahtera, mana mungkin terima suapâ€ justru pejabat yg sejahtera yg rata-rata korupsi""";Negatif;
"""@Andiarief__ partai korupsi ketemu partai didikan komunis. cocok banget tuu.";Negatif;
"""@mahasiswigenz Ngomong ngawur trus kerja kuras uang rakyat n kelebihan^bayar:(";Negatif;
"""@nana_juhainah Hati hati sama one abude gabener sara, boneka radikal kadrun dan kaum status quo orba! Anies Beban Negara Bahaya Laten Kadrun! Tangkap Anies korupsi Formula E dki!  https://t.co/w1kVWDIRDP""";Negatif;
"""@Paltiwest @NKRILover45 Itulah kelebihan nya wan Abas bin kadrun Al Yamani yg begitu pandai kalau soal merangkai kata korupsi jadi kelebihan anggaran sehingga KPK cuma bisa mengendus";Negatif;
#RakyatTanya Kenapa sihh KPK Gak pernah Usut Korupsi Jokowi? ~  https://t.co/wensIOdVQP Jenderal08 Presiden2014com;Negatif;
Bangga dengan korupsi . Setan;Negatif;
"""@tohariazka87 @ganjarpranowo @gibran_tweet Apanya yang mau diserang? Prestasi gak ada, ide gak ada.. mau bahas wadas?, banjir semarang, jateng termiskin? Atau korupsi e-ktp.. ğŸ¤£ğŸ¤£""";Negatif;
